Daniel Johnson - 2021 Adelaide Split Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPLIT,GP,GS,MIN,PTS,REB,AST,GS40,OFF,DEF,STL,BL,TOV,BLA,PF,2P,2P%,3P,3P%,FT,FT%,TS%,P40,R40,A40,EF40,T40,S40,B40,FTA40
Total,39,39,32:50:00,19.4,7,2.4,17.3,1.9,5.1,0.3,0.2,1.9,0.6,2.1,5.0-9.9,0.501,1.5-3.7,0.393,5.1-5.9,0.861,0.598,23.7,8.5,2.9,23.4,2.4,0.3,0.2,7.2
Home,20,20,32:31:00,20.9,7.1,2.8,19.8,1.8,5.3,0.3,0.3,2.3,0.7,2,5.2-9.7,0.534,1.5-3.4,0.441,6.1-7.1,0.852,0.645,25.6,8.7,3.4,26.4,2.8,0.3,0.3,8.7
Road,19,19,33:09:00,17.9,6.9,1.9,14.7,1.9,4.9,0.3,0.1,1.6,0.6,2.2,4.8-10.2,0.469,1.4-4.1,0.351,4.1-4.6,0.875,0.549,21.6,8.3,2.3,20.3,1.9,0.3,0.1,5.6
Last 5,5,5,32:16:00,14.2,7.4,1.2,11.8,1.6,5.8,0,0,1.4,0.6,1.4,4.0-7.8,0.513,.8-3.4,0.235,3.8-5.0,0.76,0.53,17.6,9.2,1.5,17.1,1.7,0,0,6.2
Last 10,10,10,31:13:00,16.4,7.5,1.7,14.9,2,5.5,0.1,0.1,1.8,0.6,1.7,4.2-8.7,0.483,1.3-3.6,0.361,4.1-4.9,0.837,0.567,21,9.6,2.2,21,2.3,0.1,0.1,6.3
Starter,39,39,32:50:00,19.4,7,2.4,17.3,1.9,5.1,0.3,0.2,1.9,0.6,2.1,5.0-9.9,0.501,1.5-3.7,0.393,5.1-5.9,0.861,0.598,23.7,8.5,2.9,23.4,2.4,0.3,0.2,7.2
Team Wins,15,15,32:09:00,22.4,7.1,2.7,21.5,2,5.1,0.1,0.2,2.3,0.5,2,5.9-10.3,0.574,1.6-3.7,0.436,5.7-6.4,0.896,0.666,27.9,8.9,3.3,28.7,2.8,0.1,0.2,8
Team Loses,24,24,33:15:00,17.5,6.9,2.2,14.8,1.8,5.1,0.4,0.2,1.8,0.8,2.1,4.4-9.7,0.453,1.4-3.8,0.367,4.7-5.6,0.836,0.553,21.1,8.3,2.6,20.2,2.1,0.5,0.2,6.7
Win by 13+,6,6,28:22:00,21.5,6,2.7,24,1.5,4.5,0.2,0,1.5,0.2,2.2,6.3-10.3,0.613,1.8-3.3,0.55,3.3-4.0,0.833,0.697,30.3,8.5,3.8,32,2.1,0.2,0,5.6
Win by 6-12,6,6,34:27:00,24.7,8.2,2.3,21.7,2.3,5.8,0,0.3,3,0.7,2.2,6.2-10.5,0.587,1.5-4.0,0.375,7.8-8.5,0.922,0.676,28.6,9.5,2.7,29,3.5,0,0.4,9.9
