Evan Mobley - 2022 Split Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPLIT,GP,GS,MIN,PTS,REB,AST,GS40,OFF,DEF,STL,BL,TOV,BLA,PF,2P,2P%,3P,3P%,FT,FT%,TS%,P40,R40,A40,EF40,T40,S40,B40,FTA40
Total,26,26,32:16:00,12.9,8.1,2.4,14,1.7,6.4,0.9,1.7,1.6,0,2.2,4.5-9.3,0.485,.6-1.8,0.326,2.2-2.8,0.767,0.525,16,10,3,22,2,1.1,2.1,3.5
Home,11,11,33:10:00,13.1,8.5,2,14,1.7,6.8,1,2.3,1.8,0,2,4.5-9.6,0.472,.7-1.7,0.421,1.8-2.5,0.714,0.524,15.8,10.3,2.4,22,2.2,1.2,2.7,3.1
Road,15,15,31:35:00,12.7,7.7,2.7,14.1,1.7,6.1,0.8,1.3,1.5,0,2.4,4.5-9.0,0.496,.5-1.8,0.259,2.4-3.0,0.8,0.525,16.1,9.8,3.5,22,1.9,1,1.7,3.8
Last 5,5,5,34:23:00,12.2,8.6,3,12.5,2,6.6,0.8,2,1.6,0,2.6,3.6-9.2,0.391,.8-2.4,0.333,2.6-3.0,0.867,0.472,14.2,10,3.5,20.2,1.9,0.9,2.3,3.5
Last 10,10,10,33:24:00,12.9,8.4,2.7,13.4,1.7,6.7,0.8,2.3,1.7,0,2,3.8-9.4,0.404,1.0-2.5,0.4,2.3-3.0,0.767,0.488,15.5,10.1,3.2,21.1,2,1,2.8,3.6
Starter,26,26,32:16:00,12.9,8.1,2.4,14,1.7,6.4,0.9,1.7,1.6,0,2.2,4.5-9.3,0.485,.6-1.8,0.326,2.2-2.8,0.767,0.525,16,10,3,22,2,1.1,2.1,3.5
Team Wins,15,15,33:49:00,13.5,8.7,2.1,13.9,1.8,6.9,0.8,2.1,2,0,2.4,4.8-9.3,0.518,.6-1.9,0.31,2.1-2.7,0.8,0.547,16,10.3,2.5,22.4,2.4,0.9,2.5,3.2
Team Loses,11,11,30:08:00,12,7.3,2.8,14.2,1.5,5.7,1,1.2,1.1,0,2,4.1-9.3,0.441,.5-1.5,0.353,2.2-3.0,0.727,0.494,15.9,9.7,3.7,21.5,1.4,1.3,1.6,4
Win by 13+,8,8,31:50:00,13.1,8,2.6,15.5,1.5,6.5,0.9,2.4,1.6,0,2.1,3.9-8.5,0.456,1.0-2.0,0.5,2.4-3.1,0.76,0.553,16.5,10.1,3.3,23.9,2,1.1,3,3.9
Win by 6-12,2,2,30:41:00,13.5,9.5,1.5,16.5,2.5,7,0.5,2.5,2,0,3,5.5-9.0,0.611,.0-1.0,0,2.5-2.5,1,0.608,17.6,12.4,2,27.4,2.6,0.7,3.3,3.3
Win by 1-5,5,5,38:15:00,14.2,9.4,1.6,11.1,2,7.4,0.8,1.6,2.6,0,2.6,6.0-10.6,0.566,.2-2.2,0.091,1.6-2.0,0.8,0.519,14.9,9.8,1.7,18.8,2.7,0.8,1.7,2.1
Lose by 1-5,3,3,31:47:00,16,9.7,3,17.8,2.3,7.3,1,1.7,1,0,2.7,5.7-12.7,0.447,1.0-2.0,0.5,1.7-2.3,0.714,0.51,20.1,12.2,3.8,27.3,1.3,1.3,2.1,2.9
Lose by 6-12,7,7,30:37:00,10.6,6.1,3.1,12.2,1.3,4.9,1,0.9,1.1,0,1.7,3.6-8.1,0.439,.4-1.6,0.273,2.1-3.1,0.682,0.476,13.8,8,4.1,18.1,1.5,1.3,1.1,4.1
Lose by 13+,1,1,21:53,10,8,0,17.7,1,7,1,2,1,0,2,3.0-7.0,0.429,.0-.0,0,4.0-4.0,1,0.571,18.3,14.6,0,29.3,1.8,1.8,3.7,7.3
FGA 0-5,2,2,19:46,4.5,4,1,6.8,0,4,1,0.5,0.5,0,2,2.0-5.0,0.4,.0-.0,0,.5-1.5,0.333,0.398,9.1,8.1,2,13.2,1,2,1,3
FGA 6-10,9,9,29:56:00,11.6,7.3,1.9,13.5,1.3,6,1,1.8,2,0,2.4,3.2-7.3,0.439,.6-1.3,0.417,3.4-4.0,0.861,0.554,15.4,9.8,2.5,21.5,2.7,1.3,2.4,5.3
