Stephen Curry - 2016 Split Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPLIT,GP,GS,MIN,PTS,REB,AST,GS40,OFF,DEF,STL,BL,TOV,BLA,PF,2P,2P%,3P,3P%,FT,FT%,TS%,P40,R40,A40,EF40,T40,S40,B40,FTA40
Total,103,102,33:32:00,28.6,5.3,6.4,27.3,0.8,4.4,2,0.2,3.4,0.6,2.1,4.7-8.5,0.557,4.9-10.9,0.446,4.5-5.0,0.903,0.661,34.1,6.3,7.6,34.2,4.1,2.3,0.3,5.9
Home,53,53,33:12:00,27,5.1,6.4,26.6,0.7,4.5,2,0.2,3.1,0.5,2,4.5-8.0,0.561,4.7-10.5,0.444,4.0-4.4,0.918,0.66,32.5,6.2,7.7,33.7,3.8,2.4,0.2,5.3
Road,50,49,33:53:00,30.3,5.4,6.3,27.9,1,4.4,1.9,0.2,3.8,0.7,2.2,5.0-9.0,0.553,5.1-11.4,0.447,5.0-5.6,0.89,0.661,35.7,6.4,7.5,34.8,4.5,2.2,0.3,6.6
Last 5,5,5,37:03:00,25.8,4,3.2,16.2,1.2,2.8,1.2,0.8,4.2,1.4,3.8,2.8-7.0,0.4,5.0-12.6,0.397,5.2-5.6,0.929,0.585,27.9,4.3,3.5,20.1,4.5,1.3,0.9,6
Last 10,10,10,36:28:00,25.4,5.6,4.9,18.8,1.1,4.5,1.3,0.5,4.1,1,2.9,3.2-7.7,0.416,4.8-11.2,0.429,4.6-5.0,0.92,0.602,27.9,6.1,5.4,24.5,4.5,1.4,0.5,5.5
Starter,102,102,33:30:00,28.5,5.2,6.4,27.2,0.8,4.4,2,0.2,3.4,0.6,2.1,4.7-8.4,0.555,4.9-10.9,0.448,4.5-5.0,0.902,0.662,34,6.3,7.6,34.1,4.1,2.4,0.3,6
Reserve,1,0,36:34:00,40,9,8,30.5,1,8,0,0,4,1,2,11.0-16.0,0.688,5.0-16.0,0.313,3.0-3.0,1,0.6,43.8,9.8,8.8,40.5,4.4,0,0,3.3
Team Wins,85,84,33:22:00,29.5,5.4,6.6,29.1,0.8,4.6,2,0.2,3.3,0.6,2,5.0-8.7,0.571,5.0-10.8,0.466,4.5-5.0,0.908,0.681,35.3,6.5,7.9,36.5,3.9,2.5,0.2,6
Team Loses,18,18,34:20:00,24.4,4.8,5.4,18.8,1,3.8,1.6,0.3,4.1,0.8,2.4,3.7-7.6,0.482,4.2-11.8,0.358,4.4-5.1,0.879,0.565,28.5,5.6,6.3,23.7,4.8,1.8,0.4,5.9
Win by 13+,44,44,30:54:00,28.7,4.8,6.2,31.7,0.6,4.1,2.1,0.2,2.8,0.4,1.9,4.7-7.5,0.622,5.2-10.6,0.491,3.6-4.0,0.909,0.72,37.1,6.2,8,39.5,3.6,2.7,0.3,5.2
Win by 6-12,29,28,36:22:00,31.2,6.5,6.9,27.5,1,5.5,2.1,0.1,3.8,0.8,2.1,5.9-10.5,0.564,4.6-10.9,0.425,5.5-6.0,0.919,0.65,34.3,7.2,7.5,34.9,4.2,2.4,0.2,6.6
Win by 1-5,12,12,35:07:00,28.2,4.9,7.3,24.8,0.9,4,1.7,0.3,3.8,0.9,2.3,3.7-8.6,0.427,5.2-10.9,0.473,5.3-6.1,0.877,0.635,32.1,5.6,8.4,30.9,4.4,1.9,0.3,6.9
Lose by 1-5,3,3,38:34:00,28,5,5.7,17.6,0.7,4.3,1.7,0.7,7,0.3,2.3,3.7-7.7,0.478,5.7-13.3,0.425,3.7-3.7,1,0.619,29,5.2,5.9,23.2,7.3,1.7,0.7,3.8
Lose by 6-12,4,4,36:34:00,18.8,5.8,8.8,14.1,1.3,4.5,2.3,0,4,1,2.8,3.3-7.5,0.433,3.0-12.0,0.25,3.3-3.8,0.867,0.443,20.5,6.3,9.6,19.4,4.4,2.5,0,4.1
Lose by 13+,11,11,32:22:00,25.5,4.4,4.2,21.1,1,3.4,1.3,0.4,3.4,0.9,2.3,3.8-7.6,0.5,4.3-11.3,0.379,5.1-5.9,0.862,0.594,31.6,5.4,5.2,25.6,4.2,1.6,0.4,7.3
FGA 6-10,5,5,19:47,12.6,2,4.6,22.6,0.2,1.8,1.4,0,2.4,0,1.8,2.0-2.4,0.833,1.8-4.8,0.375,3.2-3.4,0.941,0.724,25.5,4,9.3,29.5,4.9,2.8,0,6.9
